,Group
"['Travel', 'Gas Stations']MARATHON PETRO171314",1
"['Service', 'Shipping and Freight']THE UPS STORE 2850 CHICAGO IL 01220R",1
['Service']WIX.COM*457336691 NY 06/08,1
"['Shops', 'Pets']POS DEBIT CHEWY.COM",1
"['Travel', 'Gas Stations']MARATHON PETRO1050 10-01 PADUCAH",1
['Service']WIX.COM*7008088,1
"['Service']Wix.Com, Inc. CA 01/03",1
"['Service', 'Shipping and Freight']UPS*1ZT80G7U4300004815, 800-811-1648",1
['Service']WIX.COM*3906136,1
['Service']WIX.COM*6147471,1
"['Service']Wix.Com, Inc. CA 04/11",1
"['Food and Drink', 'Restaurants']POS Withdrawal (FIS) DOORDASH*CHICK- DOORDASH*CHICK-FIL- WWW.DOORDASH. CA(4961)",1
"['Shops', 'Pets']DEBIT CARD AUTHORIZATION CHEWY.COM",1
"['Food and Drink', 'Restaurants']DUNKIN #300797 Q35 MIAMI, FL, US",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 01-12 FORT",1
"['Travel', 'Gas Stations']MARATHON PETRO1262 05-16 COVINGT",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 06-01 FORT",1
['Service']WIX.COM*6556570,1
"['Shops', 'Pharmacies']JEWEL OSCO 3346 ELMHURST IL 997855 10/25",1
['Service']WIX.COM*5566583,1
