id,original_amount,txn_date,plaid_category,plaid_dirty_name
39641,25.25,2019-04-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
46068,5.0,2018-02-08,"['Travel', 'Public Transportation Services']",VENTRA VENDING 10502
118798,136.21,2021-01-19,"['Shops', 'Clothing and Accessories']",ROSS STORES #1892 HOMEWOOD IL 01/18
81271,240.57,2020-04-15,"['Shops', 'Beauty Products']",Sephora
48216,59.9,2020-09-25,"['Shops', 'Beauty Products']",Sephora
33964,4.19,2020-04-23,"['Travel', 'Gas Stations']",MARATHON PETRO1595 04-21 FLORENC
94673,5.0,2021-01-04,"['Shops', 'Digital Purchase']",POS DEBIT GLOBALPOK GOLD COINS TA XBIEX
45138,4.77,2016-09-12,"['Food and Drink', 'Restaurants']",DUNKIN #331707 Q35 BROOKLYN NY 09/11
43019,250.0,2018-01-17,"['Transfer', 'Debit']",ALLY CASHBACK
97259,8.16,2020-12-21,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 12/18
42507,132.15,2020-11-24,"['Shops', 'Clothing and Accessories']",T.J.Maxx
3788,354.1,2019-03-25,"['Transfer', 'Debit']",ALLY CASHBACK
44894,10.0,2017-01-17,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
54214,136.86,2020-02-19,"['Service', 'Insurance']",State Farm
119847,8.8,2020-09-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
86134,14.95,2019-05-31,"['Shops', 'Digital Purchase']",Audible
88114,4.32,2020-01-03,"['Shops', 'Pharmacies']",Duane Reade
45610,5.0,2018-07-26,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
23621,12.18,2019-11-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
9564,55.07,2019-12-01,"['Shops', 'Pets']",CHEWY.COM
37295,15.13,2019-08-28,"['Food and Drink', 'Restaurants']",CHICK-FIL-
1367,3.5,2019-10-31,['Food and Drink'],PepsiCo
45637,5.0,2018-07-17,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
33704,3.78,2020-07-01,"['Travel', 'Gas Stations']",MARATHON PETRO1207 06-29 FORT
110946,8.08,2018-12-22,"['Service', 'Shipping and Freight']",UPS
102959,1.83,2020-09-22,"['Travel', 'Gas Stations']",MARATHON PETRO 09-20
63200,26.74,2019-12-13,"['Shops', 'Clothing and Accessories']",T.J.Maxx
73918,20.0,2020-05-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/25
76923,7.78,2019-08-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
100493,10.17,2021-01-11,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
44928,4.13,2016-12-12,"['Food and Drink', 'Restaurants']",DUNKIN #340157 Q35 BROOKLYN NY 12/09
95653,14.66,2019-12-16,"['Service', 'Shipping and Freight']",UPS
1188,1.75,2020-02-18,['Food and Drink'],PepsiCo
102720,3.5,2021-01-11,"['Shops', 'Discount Stores']",Dollar General
99613,97.03,2019-04-26,"['Shops', 'Beauty Products']",ULTA #1138 CHICAGO IL 04/26
53170,8.11,2020-12-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
89145,0.75,2019-05-03,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 04/30
36661,140.72,2020-01-06,"['Shops', 'Beauty Products']",ULTA
20531,34.67,2020-10-19,"['Food and Drink', 'Restaurants']",Hover.Com
90041,6.5,2020-11-20,['Service'],"WIX*Wix.Com, Inc., 415-4499034, CA, US"
125610,15.8,2020-04-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
91565,2.0,2020-12-28,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
67766,26.0,2020-10-15,"['Travel', 'Gas Stations']",Sheetz
119448,14.08,2020-12-24,"['Service', 'Insurance']",State Farm
17834,8.6,2020-03-02,"['Shops', 'Pharmacies']",Duane Reade
19687,5.49,2018-11-07,"['Shops', 'Pharmacies']",Duane Reade
102746,27.43,2021-01-04,"['Shops', 'Discount Stores']",Dollar General
72359,60.08,2020-02-14,"['Shops', 'Beauty Products']",ULTA.COM
98011,8.16,2020-06-23,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 06/23
1530,8.23,2019-08-26,"['Food and Drink', 'Restaurants']",Panda Express
15673,8.0,2019-05-13,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
46109,5.0,2018-01-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
32206,5.0,2019-12-19,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
17299,4.0,2020-06-25,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/24
3458,259.13,2019-09-03,"['Transfer', 'Debit']",ALLY CASHBACK
112669,4.95,2021-01-22,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
85412,14.95,2020-03-23,"['Shops', 'Bookstores']",Audible
125226,18.11,2021-02-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
98077,16.29,2020-05-26,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 05/23
77021,6.8,2019-07-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
105342,280.59,2020-07-11,"['Shops', 'Pharmacies']",SHAWS OSCO 0057
66338,29.96,2020-12-09,"['Shops', 'Beauty Products']",Sephora
127572,57.65,2020-08-20,"['Shops', 'Beauty Products']",ULTA # 505 SHELBY TOWNSHMI
37096,13.66,2019-10-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
1011,9.88,2020-08-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
24713,10.72,2020-09-22,"['Service', 'Shipping and Freight']",UPS US SHIP 4029357733
53751,25.96,2020-12-02,"['Shops', 'Clothing and Accessories']",ROSS STORES #1775 GLEN ELLYN IL 12/02
84041,53.45,2019-10-15,"['Shops', 'Pets']",CHEWY.COM
80739,2.0,2020-12-18,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
54514,139.13,2019-08-19,"['Service', 'Insurance']",State Farm
94283,19.79,2020-09-11,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
1284,8.17,2019-12-09,"['Food and Drink', 'Restaurants']",Chick-fil-A
57473,9.03,2020-12-03,"['Shops', 'Discount Stores']",Dollar General
32286,105.0,2019-11-02,"['Travel', 'Public Transportation Services']",VENTRA VENDING 02202
86324,14.95,2019-03-31,"['Shops', 'Digital Purchase']",Audible
21945,48.78,2020-04-28,"['Shops', 'Pets']",CHEWY INC
86934,24.99,2020-11-02,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 10/30
32739,5.0,2019-05-16,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
43101,7.69,2017-10-20,"['Food and Drink', 'Restaurants']",Panda Express
44591,14.22,2017-07-10,"['Shops', 'Pharmacies']",Duane Reade
45444,5.0,2018-09-22,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
32959,5.0,2019-02-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
102721,7.36,2021-01-11,"['Shops', 'Discount Stores']",Dollar General
72742,20.0,2020-10-19,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 10/17
16651,10.75,2020-10-22,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 10/21
30496,13.51,2019-07-29,"['Travel', 'Gas Stations']",Sheetz
120878,2.08,2020-01-30,"['Food and Drink', 'Restaurants']",Chick-fil-A
94166,19.79,2020-11-02,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
102918,12.14,2020-10-06,"['Shops', 'Discount Stores']",Dollar General
32983,5.0,2019-01-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
43191,670.55,2017-08-17,"['Transfer', 'Debit']",ALLY CASHBACK
73887,50.0,2020-05-29,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 05/28
1876,2.5,2018-09-13,['Food and Drink'],PepsiCo
38662,29.9,2019-11-13,['Service'],WIX.COM*546938373 NY 11/11
82939,7.42,2020-12-08,"['Shops', 'Discount Stores']",Dollar Tree
101741,5.91,2021-01-13,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
108657,35.94,2019-04-16,"['Shops', 'Beauty Products']",Sephora
21942,102.45,2020-04-29,"['Shops', 'Pets']",CHEWY INC
53369,21.9,2020-03-30,"['Shops', 'Discount Stores']",Dollar Tree
14094,9.0,2019-11-25,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
89385,2.5,2019-03-01,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 02/28
45155,31.0,2016-09-06,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
77713,2.53,2020-07-07,"['Shops', 'Beauty Products']",POINT OF SALE DEBIT ULTA 3 #25
17129,4.0,2020-07-24,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/23
44837,31.0,2017-02-21,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
80254,17.0,2019-11-22,['Service'],Recurring Payment - WIX.COM*552802853
22063,2.99,2020-01-27,"['Travel', 'Gas Stations']",MARATHON PETRO171041
45964,5.0,2018-03-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
112931,15.54,2021-01-25,"['Food and Drink', 'Restaurants']",POS Withdrawal (FIS) DOORDASH*CHICK- DOORDASH*CHICK-FIL- WWW.DOORDASH. CA(4961)
58655,30.15,2019-05-10,"['Travel', 'Gas Stations']",QuikTrip
10153,1.38,2018-12-12,"['Service', 'Shipping and Freight']",UPS
118843,53.87,2021-01-11,"['Shops', 'Clothing and Accessories']",ROSS STORES #1523 CALUMET CITY IL 01/09
45537,5.0,2018-08-21,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
72757,20.0,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/17
59330,8.15,2020-07-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
34198,5.62,2020-01-24,"['Travel', 'Gas Stations']",MARATHON PETRO1207 01-22 FORT
80740,2.0,2020-12-18,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
103540,6.0,2020-01-09,"['Shops', 'Discount Stores']",Dollar General
37320,10.64,2019-08-22,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
101924,8.3,2021-01-14,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
83269,94.18,2020-03-11,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
38224,3.75,2020-06-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
653,60.07,2019-05-03,"['Shops', 'Clothing and Accessories']",T.J.Maxx
51744,9.99,2019-12-30,['Service'],WIX.COM*5751963
73598,20.0,2020-07-08,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 07/07
97074,8.79,2021-01-07,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
78826,3.91,2020-11-19,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
15617,20.0,2019-05-22,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
13655,10.0,2020-01-08,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
49603,74.04,2020-10-29,"['Shops', 'Beauty Products']",Sephora
60348,48.53,2020-12-07,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
89638,120.0,2018-12-31,"['Shops', 'Clothing and Accessories']",T J MAXX 815 HUTCHINS BRONX NY 12/31
103108,1.01,2020-07-28,"['Shops', 'Discount Stores']",Dollar General
54746,143.81,2019-03-20,"['Service', 'Insurance']",State Farm
35515,14.97,2020-08-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32786,5.0,2019-04-25,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
112494,19.95,2021-01-21,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
1688,1.75,2019-03-21,['Food and Drink'],PepsiCo
106794,23.24,2020-06-23,"['Travel', 'Gas Stations']",QuikTrip
99246,10.0,2019-07-12,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 07/11
3525,616.67,2019-07-29,"['Transfer', 'Debit']",ALLY CASHBACK
38602,16.59,2019-11-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
53620,32.68,2019-04-11,"['Shops', 'Pets']",CHEWY.COM
55686,16.96,2020-05-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
34999,15.41,2020-10-07,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
68175,13.2,2020-05-02,"['Travel', 'Gas Stations']",QuikTrip
73497,20.0,2020-07-27,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/24
97834,14.8,2020-08-13,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/13
54420,22.27,2019-10-18,"['Shops', 'Clothing and Accessories']",T.J. MAXX 2099 1/2 N MELROSE PARK IL 10/18
34933,8.11,2020-10-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
26445,50.49,2020-08-14,"['Shops', 'Convenience Stores']",Cumberland Farms
32733,5.0,2019-05-19,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
95935,8.74,2019-08-25,"['Shops', 'Discount Stores']",Dollar Tree
80042,7.18,2020-01-14,"['Shops', 'Pharmacies']",Duane Reade
15202,12.3,2019-07-24,"['Shops', 'Pharmacies']",Duane Reade
88734,25.0,2019-08-26,"['Travel', 'Parking']",NYCDOT PARKNYC NY 08/23
59667,15.87,2019-11-30,"['Shops', 'Food and Beverage Store']",POS Withdraw TROPICAL SMOOTHIE IANKENY
95694,9.89,2019-12-02,"['Shops', 'Discount Stores']",Dollar Tree
26891,50.69,2020-05-15,"['Travel', 'Gas Stations']",Cumberland Farms
68071,15.78,2020-06-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
121883,8.73,2019-03-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
81504,76.85,2020-02-05,"['Shops', 'Beauty Products']",Sephora
39217,20.49,2019-07-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
53377,7.42,2020-03-18,"['Shops', 'Discount Stores']",Dollar Tree
76300,6.4,2020-07-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
34025,3.35,2020-03-31,"['Travel', 'Gas Stations']",MARATHON PETRO1207 03-29 FORT
38734,16.24,2019-11-04,"['Shops', 'Digital Purchase']",Audible
68327,30.72,2020-02-11,"['Travel', 'Gas Stations']",QuikTrip
37787,12.58,2020-11-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
104209,3.01,2019-02-26,"['Travel', 'Gas Stations']",MARATHON PETRO21 02-25-19 MURRAY
41178,19.11,2020-06-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
72696,50.0,2020-10-21,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/20
36112,25.68,2020-05-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
69744,38.3,2020-10-26,"['Shops', 'Clothing and Accessories']",Withdrawal Debit T J MAXX # / 1123
44511,10.0,2017-07-31,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
32496,5.0,2019-08-19,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
94481,13.78,2021-01-02,"['Shops', 'Discount Stores']",Dollar Tree
72662,10.0,2020-10-23,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/22
73593,20.0,2020-07-09,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/08
53350,11.27,2020-04-18,"['Travel', 'Gas Stations']",QuikTrip
34070,2.51,2020-03-16,"['Travel', 'Gas Stations']",MARATHON PETRO1207 03-12 FORT
48495,8.86,2020-06-03,"['Food and Drink', 'Restaurants']",Chick-fil-A
41544,15.15,2019-11-19,"['Food and Drink', 'Restaurants', 'Dessert']",Smoothie King
120363,7.14,2020-06-15,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
59177,6.22,2020-09-26,"['Travel', 'Gas Stations']",QuikTrip
45008,31.0,2016-11-09,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
73230,10.0,2020-08-24,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 08/23
1357,7.0,2019-11-04,"['Food and Drink', 'Restaurants']",Panda Express
51206,19.37,2020-07-29,"['Shops', 'Discount Stores']",Dollar General
88778,20.0,2019-08-15,"['Travel', 'Parking']",SPOTHERO 8443568054 IL 08/14
88650,17.42,2019-09-18,"['Shops', 'Beauty Products']",Sephora
45976,5.0,2018-03-20,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
45742,5.0,2018-06-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
52099,24.76,2019-09-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
1846,2.25,2018-10-02,['Food and Drink'],PepsiCo
49517,17.0,2020-12-01,"['Food and Drink', 'Restaurants']",PANDA EXPRES
44274,4.89,2017-10-10,"['Food and Drink', 'Restaurants']",DUNKIN #307815 Q35 BROOKLYN NY 10/06
16841,4.0,2020-09-16,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 09/15
50662,10.89,2019-06-02,"['Shops', 'Beauty Products']",Sephora
71979,8.45,2020-12-16,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
60690,69.52,2020-10-26,"['Shops', 'Pets']",VISA DDA PUR 469216 CHEWY COM *
18598,6.5,2019-09-04,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 09/03
17446,3.0,2020-06-01,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 05/29
85301,42.41,2020-05-09,"['Shops', 'Pets']",CHEWY.COM
59526,10.15,2020-03-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
45922,5.0,2018-04-06,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
76253,17.32,2020-08-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
17393,4.0,2020-06-10,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/09
72699,50.0,2020-10-21,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/20
21655,13.17,2018-12-12,"['Food and Drink', 'Restaurants']",Hover.Com
103870,57.25,2019-09-03,"['Shops', 'Discount Stores']",Dollar General
82019,116.6,2019-10-22,"['Shops', 'Beauty Products']",Sephora
110079,15.19,2019-10-31,"['Shops', 'Beauty Products']",Sephora
126040,161.2,2021-02-02,"['Shops', 'Discount Stores']",Dollar General
103533,21.01,2020-01-13,"['Shops', 'Discount Stores']",Dollar General
85308,7.25,2020-05-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
21940,8.34,2020-04-30,"['Shops', 'Pets']",CHEWY INC
73775,10.0,2020-06-15,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 06/12
101615,14.92,2021-01-12,['Service'],Hover.Com
59830,78.63,2019-07-17,"['Service', 'Insurance']",State Farm
53505,38.14,2019-08-31,"['Shops', 'Clothing and Accessories']",T.J.Maxx
111267,6.38,2018-09-18,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
42462,10.46,2019-05-20,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32871,5.0,2019-03-19,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
80667,10.2,2019-07-09,"['Food and Drink', 'Restaurants']",HUDSON-DUNKIN ST1710
125358,7.88,2021-02-01,"['Shops', 'Pharmacies']",Duane Reade
20998,29.34,2019-12-01,"['Food and Drink', 'Restaurants']",Hover.Com
83259,56.45,2020-03-18,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
75900,24.9,2019-05-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
98299,5.0,2020-02-26,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 02/25
93932,136.3,2020-12-31,"['Shops', 'Beauty Products']",POS DEBIT ULTA #1146
111191,4.33,2018-10-02,"['Food and Drink', 'Restaurants', 'Coffee Shop']",EXC - CASTLE COFFEE
102931,13.03,2020-09-30,"['Shops', 'Discount Stores']",Dollar General
101797,21.57,2021-01-13,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
80424,17.0,2019-09-23,['Service'],Recurring Payment - WIX.COM*516868881
98937,10.0,2019-09-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 09/27
38302,16.24,2020-05-04,"['Shops', 'Digital Purchase']",Audible
93840,5.0,2020-12-31,"['Shops', 'Digital Purchase']",POS DEBIT GLOBALPOK GOLD COINS TA XBIEX
68382,3.89,2020-01-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
44452,10.0,2017-08-17,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
18832,14.13,2019-07-11,"['Shops', 'Pharmacies']",Duane Reade
44797,10.0,2017-03-16,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
59551,86.88,2020-02-19,"['Service', 'Insurance']",State Farm
109511,32.59,2020-06-12,"['Shops', 'Beauty Products']",Sephora
80601,9.05,2019-08-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
46054,5.0,2018-02-14,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
95338,12.83,2020-05-31,"['Service', 'Insurance']",State Farm
126969,113.08,2020-04-23,"['Shops', 'Beauty Products']",ULTA.COM 04/23 PURCHASE 8669838582
33727,12.17,2020-06-26,"['Travel', 'Gas Stations']",MARATHON PETRO1207 06-25 FORT
88631,19.2,2019-09-23,"['Shops', 'Clothing and Accessories']",T J MAXX 815 HUTCHINS BRONX NY 09/22
73929,5.0,2020-05-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/22
21676,13.17,2018-12-03,"['Food and Drink', 'Restaurants']",Hover.Com
20906,4.58,2020-01-29,"['Food and Drink', 'Restaurants']",Hover.Com
32754,5.0,2019-05-09,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
14679,13.9,2019-09-03,"['Shops', 'Pharmacies']",Duane Reade
37549,17.09,2019-07-08,"['Shops', 'Clothing and Accessories']",T J MAXX 18059 TAMIAM
56278,11.15,2019-12-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
68631,48.6,2020-12-14,['Service'],SIGNED PURCHASE WIX.COM*826910173 POS
53140,6.0,2020-12-03,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
44991,31.0,2016-11-16,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
121265,19.51,2019-09-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
98247,5.0,2020-03-09,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 03/06
59694,6.36,2019-11-10,"['Shops', 'Discount Stores']",Dollar Tree
53946,124.02,2020-08-19,"['Service', 'Insurance']",State Farm
83274,16.51,2020-03-10,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
97133,26.92,2021-01-07,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
94612,6.0,2021-01-04,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
76469,16.15,2020-04-27,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
60787,67.47,2020-09-21,"['Shops', 'Pets']",VISA DDA PUR 469216 CHEWY COM *
60846,5.34,2020-08-24,"['Food and Drink', 'Restaurants', 'Dessert']",Smoothie King
33866,3.36,2020-05-18,"['Travel', 'Gas Stations']",MARATHON PETRO1262 05-16 COVINGT
3117,225.0,2020-02-03,"['Transfer', 'Debit']",ALLY CASHBACK
86221,14.95,2019-04-30,"['Shops', 'Digital Purchase']",Audible
63110,5.87,2020-02-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
59684,87.88,2019-11-19,"['Service', 'Insurance']",State Farm
1642,2.5,2019-05-07,['Food and Drink'],PepsiCo
112131,3.25,2021-01-21,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
120044,13.94,2020-08-03,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
122272,210.0,2019-07-10,"['Food and Drink', 'Restaurants']",BOTSFORD GENERAL HO FARMINGTON HI
64409,35.19,2020-07-27,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
43618,3.31,2018-07-09,"['Shops', 'Pharmacies']",Duane Reade
94822,12.83,2020-12-02,"['Service', 'Insurance']",State Farm
98282,5.0,2020-03-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 03/01
97677,5.0,2020-09-21,"['Travel', 'Public Transportation Services']",VENTRA MOBILE CHICAGO IL 09/18
45952,5.0,2018-03-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
120118,10.18,2020-07-22,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
32984,5.0,2019-01-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
39877,17.68,2019-02-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
54364,6.0,2019-11-13,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 11/12
50441,10.89,2019-09-04,"['Shops', 'Beauty Products']",Sephora
72656,20.0,2020-10-23,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 10/22
101936,3.94,2021-01-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
27744,62.26,2019-10-28,"['Shops', 'Convenience Stores']",Cumberland Farms
21662,49.99,2018-12-09,"['Food and Drink', 'Restaurants']",Hover.Com
3731,181.82,2019-04-25,"['Transfer', 'Debit']",ALLY CASHBACK
54587,18.0,2019-06-25,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 06/24
49250,5.01,2019-04-05,"['Travel', 'Gas Stations']",Marathon Petro27
52166,102.0,2019-09-09,"['Shops', 'Beauty Products']",Sephora
17314,4.0,2020-06-23,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/22
53323,19.82,2020-06-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
36247,14.87,2020-03-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32807,5.0,2019-04-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
28195,13.56,2019-07-29,"['Travel', 'Gas Stations']",Cumberland Farms
33730,3.78,2020-06-25,"['Travel', 'Gas Stations']",MARATHON PETRO1207 06-24 FORT
98591,10.0,2019-12-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 12/29
35923,17.95,2020-06-08,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
21682,13.17,2018-12-02,"['Food and Drink', 'Restaurants']",Hover.Com
34223,10.46,2020-01-06,"['Travel', 'Gas Stations']",MARATHON PETRO1207 01-04 FORT
48682,8.47,2020-01-11,"['Food and Drink', 'Restaurants']",Chick-fil-A
53650,1.25,2019-03-13,['Food and Drink'],PepsiCo
1870,1.75,2018-09-14,['Food and Drink'],PepsiCo
